#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ca_environment_0;No Environment;;;;;;;;;;;;;x
ca_environment_0_desc;This world has no natural environment whatsoever. All inhabitants must live in sealed environments and wear pressure suits when venturing outside. Nobody chooses to live here if they can possibly help it.;;;;;;;;;;;;;x
ca_environment_1;Harsh Environment;;;;;;;;;;;;;x
ca_environment_1_desc;This world has either a small artificial Earth-like environment, or a harsh, hazardous natural environment, with a toxic atmosphere and potentially dangerous xenoforms. Either way, it's only sufficient to support a small population.;;;;;;;;;;;;;x
ca_environment_2;Inhospitable Environment;;;;;;;;;;;;;x
ca_environment_2_desc;This world has either a modestly-sized artificial Earth-like environment, or an unpleasant and inhospitable natural environment, in which humans can live, but only with appropriate precautions. Either way, it can only support a moderate population.;;;;;;;;;;;;;x
ca_environment_3;Near-Terrestrial Environment;;;;;;;;;;;;;x
ca_environment_3_desc;This world has either a large artificial Earth-like environment, or a natural environment that is almost, but not entirely, exactly like Earth's. In either case, it is a home away from home for humanity.;;;;;;;;;;;;;x
ca_environment_4;Terrestrial Environment;;;;;;;;;;;;;x
ca_environment_4_desc;This world supports an environment effectively identical to Earth's, making it a paradise world for humanity.;;;;;;;;;;;;;x
ca_energy_0;No Energy;;;;;;;;;;;;;x
ca_energy_0_desc;This world has no natural energy sources, leaving it entirely reliant on imported fuels.;;;;;;;;;;;;;x
ca_energy_1;Solar Energy;;;;;;;;;;;;;x
ca_energy_1_desc;This world has access to solar power, but no other energy sources.;;;;;;;;;;;;;x
ca_energy_2;Geothermal Energy;;;;;;;;;;;;;x
ca_energy_2_desc;This world has access to solar and geothermal power, but no other energy sources.;;;;;;;;;;;;;x
ca_energy_3;Fusion Energy;;;;;;;;;;;;;x
ca_energy_3_desc;This world has access to all conventional energy sources, from solar power to naturally occurring fusion fuels.;;;;;;;;;;;;;x
ca_energy_4;Anomalous Energy;;;;;;;;;;;;;x
ca_energy_4_desc;This world has access to a strange and mysterious source of seemingly near-infinite power, whose properties are poorly understood even by humanity's best scientists.;;;;;;;;;;;;;x
ca_materials_0;No Minerals;;;;;;;;;;;;;x
ca_materials_0_desc;This world has no natural mineral sources - it is either artificial, or an asteroid composed entirely of worthless rock.;;;;;;;;;;;;;x
ca_materials_1;Trace Minerals;;;;;;;;;;;;;x
ca_materials_1_desc;This world has traces of ores and minerals useful for manufacturing, although not many.;;;;;;;;;;;;;x
ca_materials_2;Mineral Veins;;;;;;;;;;;;;x
ca_materials_2_desc;This world has large, notable veins of ores and minerals useful for manufacturing.;;;;;;;;;;;;;x
ca_materials_3;Abundant Minerals;;;;;;;;;;;;;x
ca_materials_3_desc;This world has vast deposits of ores and minerals useful for manufacturing.;;;;;;;;;;;;;x
ca_materials_4;Motherlode;;;;;;;;;;;;;x
ca_materials_4_desc;This world is naturally comprised almost exclusively of rare, valuable ores and minerals useful for manufacturing.;;;;;;;;;;;;;x
ct_environment_0;No Environment;;;;;;;;;;;;;x
ct_environment_0_desc;This world has no natural environment whatsoever. All inhabitants must live in sealed environments and wear pressure suits when venturing outside. Nobody chooses to live here if they can possibly help it.;;;;;;;;;;;;;x
ct_environment_1;Harsh Environment;;;;;;;;;;;;;x
ct_environment_1_desc;This world has either a small artificial Earth-like environment, or a harsh, hazardous natural environment, with a toxic atmosphere and potentially dangerous xenoforms. Either way, it's only sufficient to support a small population.;;;;;;;;;;;;;x
ct_environment_2;Inhospitable Environment;;;;;;;;;;;;;x
ct_environment_2_desc;This world has either a modestly-sized artificial Earth-like environment, or an unpleasant and inhospitable natural environment, in which humans can live, but only with appropriate precautions. Either way, it can only support a moderate population.;;;;;;;;;;;;;x
ct_environment_3;Near-Terrestrial Environment;;;;;;;;;;;;;x
ct_environment_3_desc;This world has either a large artificial Earth-like environment, or a natural environment that is almost, but not entirely, exactly like Earth's. In either case, it is a home away from home for humanity.;;;;;;;;;;;;;x
ct_environment_4;Terrestrial Environment;;;;;;;;;;;;;x
ct_environment_4_desc;This world supports an environment effectively identical to Earth's, making it a paradise world for humanity.;;;;;;;;;;;;;x
ct_energy_0;No Energy;;;;;;;;;;;;;x
ct_energy_0_desc;This world has no natural energy sources, leaving it entirely reliant on imported fuels.;;;;;;;;;;;;;x
ct_energy_1;Solar Energy;;;;;;;;;;;;;x
ct_energy_1_desc;This world has access to solar power, but no other energy sources.;;;;;;;;;;;;;x
ct_energy_2;Geothermal Energy;;;;;;;;;;;;;x
ct_energy_2_desc;This world has access to solar and geothermal power, but no other energy sources.;;;;;;;;;;;;;x
ct_energy_3;Fusion Energy;;;;;;;;;;;;;x
ct_energy_3_desc;This world has access to all conventional energy sources, from solar power to naturally occurring fusion fuels.;;;;;;;;;;;;;x
ct_energy_4;Anomalous Energy;;;;;;;;;;;;;x
ct_energy_4_desc;This world has access to a strange and mysterious source of seemingly near-infinite power, whose properties are poorly understood even by humanity's best scientists.;;;;;;;;;;;;;x
ct_materials_0;No Minerals;;;;;;;;;;;;;x
ct_materials_0_desc;This world has no natural mineral sources - it is either artificial, or an asteroid composed entirely of worthless rock.;;;;;;;;;;;;;x
ct_materials_1;Trace Minerals;;;;;;;;;;;;;x
ct_materials_1_desc;This world has traces of ores and minerals useful for manufacturing, although not many.;;;;;;;;;;;;;x
ct_materials_2;Mineral Veins;;;;;;;;;;;;;x
ct_materials_2_desc;This world has large, notable veins of ores and minerals useful for manufacturing.;;;;;;;;;;;;;x
ct_materials_3;Abundant Minerals;;;;;;;;;;;;;x
ct_materials_3_desc;This world has vast deposits of ores and minerals useful for manufacturing.;;;;;;;;;;;;;x
ct_materials_4;Motherlode;;;;;;;;;;;;;x
ct_materials_4_desc;This world is naturally comprised almost exclusively of rare, valuable ores and minerals useful for manufacturing.;;;;;;;;;;;;;x
tp_environment_0;No Environment;;;;;;;;;;;;;x
tp_environment_0_desc;This world has no natural environment whatsoever. All inhabitants must live in sealed environments and wear pressure suits when venturing outside. Nobody chooses to live here if they can possibly help it.;;;;;;;;;;;;;x
tp_environment_1;Harsh Environment;;;;;;;;;;;;;x
tp_environment_1_desc;This world has either a small artificial Earth-like environment, or a harsh, hazardous natural environment, with a toxic atmosphere and potentially dangerous xenoforms. Either way, it's only sufficient to support a small population.;;;;;;;;;;;;;x
tp_environment_2;Inhospitable Environment;;;;;;;;;;;;;x
tp_environment_2_desc;This world has either a modestly-sized artificial Earth-like environment, or an unpleasant and inhospitable natural environment, in which humans can live, but only with appropriate precautions. Either way, it can only support a moderate population.;;;;;;;;;;;;;x
tp_environment_3;Near-Terrestrial Environment;;;;;;;;;;;;;x
tp_environment_3_desc;This world has either a large artificial Earth-like environment, or a natural environment that is almost, but not entirely, exactly like Earth's. In either case, it is a home away from home for humanity.;;;;;;;;;;;;;x
tp_environment_4;Terrestrial Environment;;;;;;;;;;;;;x
tp_environment_4_desc;This world supports an environment effectively identical to Earth's, making it a paradise world for humanity.;;;;;;;;;;;;;x
tp_energy_0;No Energy;;;;;;;;;;;;;x
tp_energy_0_desc;This world has no natural energy sources, leaving it entirely reliant on imported fuels.;;;;;;;;;;;;;x
tp_energy_1;Solar Energy;;;;;;;;;;;;;x
tp_energy_1_desc;This world has access to solar power, but no other energy sources.;;;;;;;;;;;;;x
tp_energy_2;Geothermal Energy;;;;;;;;;;;;;x
tp_energy_2_desc;This world has access to solar and geothermal power, but no other energy sources.;;;;;;;;;;;;;x
tp_energy_3;Fusion Energy;;;;;;;;;;;;;x
tp_energy_3_desc;This world has access to all conventional energy sources, from solar power to naturally occurring fusion fuels.;;;;;;;;;;;;;x
tp_energy_4;Anomalous Energy;;;;;;;;;;;;;x
tp_energy_4_desc;This world has access to a strange and mysterious source of seemingly near-infinite power, whose properties are poorly understood even by humanity's best scientists.;;;;;;;;;;;;;x
tp_materials_0;No Minerals;;;;;;;;;;;;;x
tp_materials_0_desc;This world has no natural mineral sources - it is either artificial, or an asteroid composed entirely of worthless rock.;;;;;;;;;;;;;x
tp_materials_1;Trace Minerals;;;;;;;;;;;;;x
tp_materials_1_desc;This world has traces of ores and minerals useful for manufacturing, although not many.;;;;;;;;;;;;;x
tp_materials_2;Mineral Veins;;;;;;;;;;;;;x
tp_materials_2_desc;This world has large, notable veins of ores and minerals useful for manufacturing.;;;;;;;;;;;;;x
tp_materials_3;Abundant Minerals;;;;;;;;;;;;;x
tp_materials_3_desc;This world has vast deposits of ores and minerals useful for manufacturing.;;;;;;;;;;;;;x
tp_materials_4;Motherlode;;;;;;;;;;;;;x
tp_materials_4_desc;This world is naturally comprised almost exclusively of rare, valuable ores and minerals useful for manufacturing.;;;;;;;;;;;;;x
ca_olympus_shipyards;Olympian Shipyards;;;;;;;;;;;;;x
ca_olympus_shipyards_desc;Extending outwards for thousands of miles from the mighty Olympus Mons Space Elevator, the Olympian Shipyards are the heart of the Sol System's industrial might and the pride of the people of Mars. The Olympian Shipyards are capable of constructing Battlecruisers and Dreadnoughts.;;;;;;;;;;;;;x
ca_megafauna;Native Megafauna;;;;;;;;;;;;;x
ca_megafauna_desc;The native wildlife of this world was once described as "like something out of HP Lovecraft." The world is hostile and difficult to tame, but serves as a training ground for some of the galaxy's deadliest soldiers.;;;;;;;;;;;;;x
ca_pirate_harbor;Pirate Harbor;;;;;;;;;;;;;x
ct_pirate_harbor;Pirate Harbor;;;;;;;;;;;;;x
tp_pirate_harbor;Pirate Harbor;;;;;;;;;;;;;x
ca_pirate_harbor_desc;Cannibalized commercial spacecraft and a disdain for safety standards has allowed these pirates the ability to deploy raiding parties nearly anywhere in the galaxy. The resulting loot and plunder that flows through here more than makes up for the risks.;;;;;;;;;;;;;x
